Date,KBANK
2012-09-25,185.5
2012-09-26,183.0
2012-09-27,181.0
2012-09-28,182.25
2012-10-01,183.25
2012-10-02,185.25
2012-10-03,184.25
2012-10-04,184.25
2012-10-05,184.5
2012-10-08,181.75
2012-10-09,178.75
2012-10-10,177.25
2012-10-11,178.75
2012-10-12,179.5
2012-10-15,177.75
2012-10-16,176.75
2012-10-17,177.25
2012-10-18,175.25
2012-10-19,174.5
2012-10-22,173.5
2012-10-24,173.75
2012-10-25,173.75
2012-10-26,175.0
2012-10-29,174.25
2012-10-30,175.75
2012-10-31,178.0
2012-11-01,179.0
2012-11-02,179.5
2012-11-05,178.25
2012-11-06,177.0
2012-11-07,177.75
2012-11-08,177.75
2012-11-09,178.0
2012-11-12,181.25
2012-11-13,181.0
2012-11-14,178.25
2012-11-15,175.75
2012-11-16,177.25
2012-11-19,178.25
2012-11-20,178.75
2012-11-21,179.25
2012-11-22,180.25
2012-11-23,181.75
2012-11-26,181.75
2012-11-27,181.25
2012-11-28,180.25
2012-11-29,182.0
2012-11-30,185.25
2012-12-03,187.25
2012-12-04,187.0
2012-12-06,190.75
2012-12-07,196.75
2012-12-11,197.0
2012-12-12,195.75
2012-12-13,195.25
2012-12-14,195.5
2012-12-17,195.25
2012-12-18,193.75
2012-12-19,193.0
2012-12-20,193.5
2012-12-21,191.75
2012-12-24,191.5
2012-12-25,193.25
2012-12-26,193.5
2012-12-27,193.0
2012-12-28,193.5
2013-01-02,194.75
2013-01-03,197.0
2013-01-04,198.5
2013-01-07,198.5
2013-01-08,198.0
2013-01-09,199.25
2013-01-10,198.5
2013-01-11,195.5
2013-01-14,194.5
2013-01-15,193.5
2013-01-16,192.75
2013-01-17,193.0
2013-01-18,193.5
2013-01-21,194.75
2013-01-22,193.75
2013-01-23,193.25
2013-01-24,192.25
2013-01-25,194.5
2013-01-28,197.5
2013-01-29,198.75
2013-01-30,197.75
2013-01-31,198.0
2013-02-01,201.75
2013-02-04,208.5
2013-02-05,207.0
2013-02-06,207.5
2013-02-07,204.0
2013-02-08,203.5
2013-02-11,202.0
2013-02-12,199.5
2013-02-13,202.5
2013-02-14,204.0
2013-02-15,203.0
2013-02-18,203.5
2013-02-19,206.0
2013-02-20,212.5
2013-02-21,212.5
2013-02-22,210.0
2013-02-26,209.5
2013-02-27,208.0
2013-02-28,209.0
